Question,Answer,Category,Sub-category,Priority,Tags,Related Questions
How can I cancel a ride?,"To cancel a ride, go to your bookings and select 'Cancel Ride'.",Booking,Ride Booking,Low,"booking,ride,schedule",How to book a ride?
What payment methods are accepted?,"We accept credit cards, debit cards, and mobile wallets like Apple Pay and Google Pay.",Payment,Payment Methods,Low,"payment,refund,wallet,credit card",How to add a payment method?
How to report a safety issue?,"To report a safety issue, use the 'Report' button in your ride history.",Ride Issues,Safety,Low,"driver,vehicle,delay,safety",How to report a safety issue?
How do I change my email address?,You can update your email address in 'Account Settings'.,Account,Login,High,"account,password,login,profile",How to reset my password?
How do I report an issue with the app?,Report app issues through the 'Help' section in the app settings.,Support,Report Issue,High,"support,report,feedback,help",How to report a problem?
How to fix login issues?,Fix login issues by clearing app cache or reinstalling the app.,App Issues,Login Issues,Low,"app,crash,bug,notification",Why does my app crash?
How to use promo codes?,Apply promo codes at checkout to get discounts on your rides.,Promotions,Promo Codes,Low,"promo,offer,discount,referral",How to use promo codes?
Is it possible to schedule a ride in advance?,"Yes, you can schedule a ride in advance from the 'Schedule' tab.",Booking,Change Pickup,Low,"booking,ride,schedule",How to book a ride?
Can I use promo codes on my payment?,Promo codes can be applied at checkout before confirming payment.,Payment,Refunds,Low,"payment,refund,wallet,credit card",How to add a payment method?
What to do if the driver is rude?,"If the driver is rude, report them through the app so we can take action.",Ride Issues,Vehicle,High,"driver,vehicle,delay,safety","My driver is late, what to do?"
How do I delete my account?,"To delete your account, please contact customer support directly.",Account,Password,Low,"account,password,login,profile",How to update profile info?
What are the support hours?,Support is available from 8 AM to 10 PM daily.,Support,Report Issue,Low,"support,report,feedback,help",How to report a problem?
Why am I not receiving ride alerts?,"If you don't receive ride alerts, check your notification settings.",App Issues,Login Issues,Low,"app,crash,bug,notification",How to enable notifications?
How to use promo codes?,Apply promo codes at checkout to get discounts on your rides.,Promotions,Referral,Medium,"promo,offer,discount,referral",How to use promo codes?
Is it possible to schedule a ride in advance?,"Yes, you can schedule a ride in advance from the 'Schedule' tab.",Booking,Ride Booking,High,"booking,ride,schedule",How to change pickup location?
Why was my payment declined?,"If your payment was declined, please check your card details or try another method.",Payment,Add Payment Method,High,"payment,refund,wallet,credit card",What payment methods do you accept?
"My driver is late, what should I do?","If your driver is late, you may cancel the ride or contact support for assistance.",Ride Issues,Safety,High,"driver,vehicle,delay,safety","My driver is late, what to do?"
How do I change my email address?,You can update your email address in 'Account Settings'.,Account,Profile,Medium,"account,password,login,profile",How to reset my password?
Where can I send feedback?,Send feedback using the 'Feedback' form available in the app.,Support,Feedback,High,"support,report,feedback,help",How to contact support?
Why does my app crash frequently?,App crashes may be due to outdated software; please update your app.,App Issues,App Crashes,Medium,"app,crash,bug,notification",How to enable notifications?
Can I combine multiple promo codes?,Multiple promo codes cannot be combined in a single ride.,Promotions,Offers,High,"promo,offer,discount,referral",What offers are available?
